,W,L,S,lmbda,seat
118,0.0,0.0,12.623188405797102,0.9655172413793104,53
119,0.0,0.0,12.72876304023845,0.9655172413793104,54
120,0.009286337711677984,0.017654476670870115,12.502551020408163,1.1206896551724137,25
121,0.0,0.0,12.3117033603708,1.1206896551724137,26
122,0.000795225280404769,0.001829268292682927,12.4845869297164,1.1206896551724137,27
123,0.0,0.0,12.408560311284047,1.1206896551724137,28
124,0.0,0.0,12.451851851851853,1.1206896551724137,29
125,0.0,0.0,12.436507936507937,1.1206896551724137,30
126,0.0,0.0,12.42987012987013,1.1206896551724137,31
127,0.0,0.0,12.439083232810615,1.1206896551724137,32
128,0.0,0.0,12.509756097560976,1.1206896551724137,33
129,0.0,0.0,12.456953642384105,1.1206896551724137,34
130,0.0,0.0,12.510362694300518,1.1206896551724137,35
131,0.0,0.0,12.456204379562044,1.1206896551724137,36
132,0.0,0.0,12.49,1.1206896551724137,37
133,0.0,0.0,12.533333333333333,1.1206896551724137,38
134,0.0,0.0,12.506281407035177,1.1206896551724137,39
135,0.0,0.0,12.438442211055277,1.1206896551724137,40
136,0.0,0.0,12.59010152284264,1.1206896551724137,41
137,0.0,0.0,12.597435897435897,1.1206896551724137,42
138,0.0,0.0,12.38375,1.1206896551724137,43
139,0.0,0.0,12.527848101265823,1.1206896551724137,44
140,0.0,0.0,12.484848484848484,1.1206896551724137,45
141,0.0,0.0,12.674744897959183,1.1206896551724137,46
142,0.0,0.0,12.385826771653543,1.1206896551724137,47
143,0.0,0.0,12.648578811369509,1.1206896551724137,48
144,0.0,0.0,12.70379746835443,1.1206896551724137,49
145,0.0,0.0,12.483870967741936,1.1206896551724137,50
146,0.0,0.0,12.591411042944785,1.1206896551724137,51
147,0.0,0.0,12.461538461538462,1.1206896551724137,52
148,0.0,0.0,12.536,1.1206896551724137,53
149,0.0,0.0,12.573849878934626,1.1206896551724137,54
150,0.01638152721142179,0.02041912950026867,12.56182212581345,1.2758620689655173,25
151,0.0190931255084463,0.03902185223725286,12.519874476987448,1.2758620689655173,26
152,0.014640167099198347,0.027888446215139442,12.533947065592635,1.2758620689655173,27
153,0.0002472298550870956,0.00055005500550055,12.504994450610432,1.2758620689655173,28
154,0.0022681669935590283,0.0036978341257263604,12.450373532550694,1.2758620689655173,29
155,0.0,0.0,12.404597701149426,1.2758620689655173,30
156,0.0,0.0,12.468181818181819,1.2758620689655173,31
157,0.0,0.0,12.518716577540108,1.2758620689655173,32
158,0.0,0.0,12.423463687150837,1.2758620689655173,33
159,0.0,0.0,12.401294498381876,1.2758620689655173,34
160,0.0,0.0,12.486916951080774,1.2758620689655173,35
161,0.0,0.0,12.42826321467098,1.2758620689655173,36
162,0.0,0.0,12.75822928490352,1.2758620689655173,37
163,0.0,0.0,12.459584295612009,1.2758620689655173,38
164,0.0,0.0,12.445454545454545,1.2758620689655173,39
165,0.0,0.0,12.4622030237581,1.2758620689655173,40
166,0.0,0.0,12.390189520624304,1.2758620689655173,41
167,0.0,0.0,12.579004329004329,1.2758620689655173,42
168,0.0,0.0,12.522142121524201,1.2758620689655173,43
169,0.0,0.0,12.5119825708061,1.2758620689655173,44
170,0.0,0.0,12.526918671248568,1.2758620689655173,45
171,0.0,0.0,12.397790055248619,1.2758620689655173,46
172,0.0,0.0,12.462526766595289,1.2758620689655173,47
173,0.0,0.0,12.461719670200235,1.2758620689655173,48
174,0.0,0.0,12.616832779623477,1.2758620689655173,49
175,0.0,0.0,12.492631578947368,1.2758620689655173,50
176,0.0,0.0,12.507462686567164,1.2758620689655173,51
