,W,L,S,lmbda,Sensitivity_W,Sensitivity_L
64,120.70814362214432,578.6667202417677,12.491176025623224,4.5858585858585865,73.49293006665876,618.9633687237247
65,116.7842472280287,549.8717066450206,12.464617352017115,4.626262626262626,-97.116435754363,-712.6765865195027
66,120.57366453217739,577.3093165539815,12.498208622915909,4.666666666666667,93.78807827767936,679.0808452467778
67,120.82224247910446,585.9336506090997,12.484692234919326,4.707070707070708,6.152304186444968,213.45226786417402
68,124.61846604351672,613.5659741655456,12.487399902912212,4.747474747474747,93.95653321920486,683.900008022048
69,123.75731390650769,603.8356360690062,12.491725185116664,4.787878787878788,-21.313515390973322,-240.8258678893489
70,129.26946965992656,635.0431595406127,12.51309588941837,4.828282828282829,136.42585489711607,772.386205922255
71,131.8797972432665,655.5792939558905,12.501009139506474,4.8686868686868685,64.60560768766447,508.2693267781345
72,133.38187692545526,682.8552727050856,12.526937351724506,4.909090909090909,37.176472134171675,675.0804740425724
73,132.0194563477898,672.4484654244658,12.48817167880143,4.94949494949495,-33.71990929721993,-257.5684801953377
74,137.30222231966633,714.110752288082,12.502884096177727,4.98989898989899,130.74845780394614,1031.1415998745185
75,135.4421379890922,692.5502234687874,12.491719462172398,5.030303030303031,-46.03708718170829,-533.623088277527
76,141.12099177458944,726.9321132829054,12.505943719981454,5.070707070707071,140.55163119105885,850.9517728994347
77,140.99394414162808,727.8537668408137,12.49221741695229,5.111111111111111,-3.1444289157938163,22.810925558229727
78,141.07534289589577,751.616612391207,12.476084276405063,5.151515151515152,2.014619168125406,588.1304273722177
79,146.45400445059653,777.1555240537183,12.500801784634746,5.191919191919192,133.12187347884577,632.0880636471641
80,142.98387557959788,769.995086725798,12.473781510856771,5.232323232323233,-85.88568955721604,-177.22082386602503
81,147.83755720441653,790.6343885131191,12.475404711646666,5.272727272727273,120.12862021426078,510.8227192361933
82,149.03515724619248,807.2377493318004,12.525769380026086,5.313131313131313,29.640601033955384,410.9331802623677
83,148.58031798851954,829.1212087079939,12.459160640069465,5.353535353535354,-11.257271627405293,541.615619560786
84,148.97966671495004,830.1492674462049,12.486843229006443,5.3939393939393945,9.883880979154888,25.444453770722824
85,153.12089977191687,857.7918148632364,12.497705935443378,5.434343434343434,102.49551815993053,684.1530485715388
86,153.34959565985025,864.2273091250814,12.46813933856175,5.474747474747475,5.660223226351213,159.27848298066434
87,158.09846143740398,901.3669989943771,12.451949337396474,5.515151515151516,117.5344279944541,919.2073242650625
88,157.70533487342047,893.2584691210138,12.485783609613943,5.555555555555555,-9.729882458592138,-200.6861143657447
